iteration,type,step,episode_return,num_episodes,step_rate,duration
0,evaluation,100000,0.0,181,934.0691745381986,107.0584521210003
1,PPO-RND-actor6,250000,0.0,556,39.41228207451263,6343.200313226001
1,PPO-RND-actor16,250000,0.0,495,39.40692990575388,6344.061833741001
1,PPO-RND-actor13,250000,0.0,541,39.40262906008047,6344.754295932999
1,PPO-RND-actor5,250000,0.0,515,39.402426785208526,6344.786867133999
1,PPO-RND-actor4,250000,0.0,526,39.39912121449483,6345.3191922470005
1,PPO-RND-actor26,250000,0.0,501,39.39742859370066,6345.591804434999
1,PPO-RND-actor30,250000,0.0,492,39.39631659156912,6345.770915382999
1,PPO-RND-actor7,250000,0.0,505,39.395701056161286,6345.8700644420005
1,PPO-RND-actor23,250000,0.0,496,39.39536811440133,6345.923695243001
1,PPO-RND-actor22,250000,0.0,505,39.39490321142087,6345.998584088999
1,PPO-RND-actor8,250000,0.0,513,39.3948257755348,6346.011058012
1,PPO-RND-actor10,250000,0.0,508,39.3946609104636,6346.037615813
1,PPO-RND-actor14,250000,0.0,487,39.39355349115066,6346.216013647
1,PPO-RND-actor15,250000,0.0,510,39.39315353715671,6346.280446022
1,PPO-RND-actor17,250000,0.0,460,39.39286034426812,6346.327680071
1,PPO-RND-actor3,250000,0.0,507,39.39248454422409,6346.388223350999
1,PPO-RND-actor27,250000,0.0,523,39.39200277420782,6346.465840616999
1,PPO-RND-actor28,250000,0.0,536,39.39125338264046,6346.5865777750005
1,PPO-RND-actor21,250000,0.0,483,39.390733259306174,6346.6703794079995
1,PPO-RND-actor29,250000,0.0,483,39.389801487679655,6346.820510842001
1,PPO-RND-actor2,250000,0.0,542,39.38925576287296,6346.908443891999
1,PPO-RND-actor0,250000,0.0,487,39.38919732996486,6346.917859374999
1,PPO-RND-actor19,250000,0.0,479,39.38893441599996,6346.960223896001
1,PPO-RND-actor18,250000,0.0,480,39.387620829353416,6347.171896548999
1,PPO-RND-actor1,250000,0.0,525,39.38738086045583,6347.210566899999
1,PPO-RND-actor20,250000,0.0,515,39.386947910527134,6347.280336823999
1,PPO-RND-actor31,250000,0.0,486,39.386231450400224,6347.395797814001
1,PPO-RND-actor25,250000,0.0,519,39.386147799351896,6347.409278855999
1,PPO-RND-actor11,250000,0.0,464,39.38498925842746,6347.595992971
1,PPO-RND-actor12,250000,0.0,459,39.384374496209276,6347.695074453
1,PPO-RND-actor24,250000,0.0,503,39.38148951015941,6348.160090173999
1,PPO-RND-actor9,250000,0.0,476,39.37965847887325,6348.455259816999
1,evaluation,100000,0.0,240,964.7532577057474,103.65344630999971
iteration,type,step,episode_return,num_episodes,step_rate,duration
0,PPO-RND-actor0,250000,0.19455252918287938,514,68.51926352388662,3648.6089771360002
0,PPO-RND-actor1,250000,0.19193857965451055,521,68.26257341854344,3662.3289671070006
0,PPO-RND-actor2,250000,0.0,475,67.98746488722144,3677.1484333870003
0,PPO-RND-actor3,250000,0.0,473,67.73195728191534,3691.0198676150003
0,PPO-RND-actor4,250000,0.20161290322580644,496,67.65161714412301,3695.403163348001
0,PPO-RND-actor5,250000,0.0,568,67.59957498744575,3698.2481035779992
0,PPO-RND-actor7,250000,0.0,459,67.57150584348665,3699.784352580001
0,PPO-RND-actor6,250000,0.0,474,67.51138469157492,3703.0791346099995
0,PPO-RND-actor9,250000,0.18518518518518517,540,67.4258717672246,3707.775568154
0,PPO-RND-actor8,250000,0.0,463,67.40619726370765,3708.8577927330007
0,PPO-RND-actor10,250000,0.0,498,67.3810645897205,3710.241171199
0,PPO-RND-actor15,250000,0.0,476,67.35470524854738,3711.6931783380005
0,PPO-RND-actor12,250000,0.0,531,67.29658239006548,3714.898901565999
0,PPO-RND-actor14,250000,0.0,526,67.3234866991206,3713.4143262260004
0,PPO-RND-actor13,250000,0.0,497,67.28542175378668,3715.5150920330007
0,PPO-RND-actor11,250000,0.20161290322580644,496,67.23836671955806,3718.115299301
0,PPO-RND-actor17,250000,0.0,530,67.34066820535003,3712.4668742170006
0,PPO-RND-actor16,250000,0.4098360655737705,488,67.27466396418174,3716.109234423
0,PPO-RND-actor20,250000,0.1968503937007874,508,67.30968629173664,3714.1756821809995
0,PPO-RND-actor19,250000,0.205761316872428,486,67.28984649062424,3715.270773204
0,PPO-RND-actor25,250000,0.0,464,67.38712233261406,3709.9076403060008
0,PPO-RND-actor27,250000,0.2070393374741201,483,67.41623205181659,3708.3057357440002
0,PPO-RND-actor18,250000,0.0,512,67.25480217353396,3717.206681464
0,PPO-RND-actor22,250000,0.0,522,67.31886544525152,3713.669241845999
0,PPO-RND-actor26,250000,0.37523452157598497,533,67.36516634541537,3711.1167916980003
0,PPO-RND-actor24,250000,0.0,446,67.32766525651112,3713.183860565
0,PPO-RND-actor23,250000,0.18832391713747645,531,67.30683561069159,3714.3329905749997
0,PPO-RND-actor29,250000,0.2127659574468085,470,67.40510043604573,3708.918143920001
0,PPO-RND-actor21,250000,0.20202020202020202,495,67.26371794281974,3716.7139677370005
0,PPO-RND-actor30,250000,0.19342359767891681,517,67.4140343084863,3708.4266290309997
0,PPO-RND-actor28,250000,0.0,522,67.37782413491824,3710.4196107519992
0,PPO-RND-actor31,250000,0.0,499,67.41638880784944,3708.297113221999
0,evaluation,100000,0.0,176,943.6470162243431,105.97182874600003
1,PPO-RND-actor31,250000,0.21321961620469082,469,65.29084173141425,3829.0209372459994
1,PPO-RND-actor10,250000,0.0,481,65.28902998040711,3829.127191428999
1,PPO-RND-actor27,250000,0.22026431718061673,454,65.25471539885476,3831.1407608160007
1,PPO-RND-actor4,250000,0.0,470,65.25016332922705,3831.4080340090004
1,PPO-RND-actor17,250000,0.19723865877712032,507,65.23702949850536,3832.1793913950005
1,PPO-RND-actor20,250000,0.0,487,65.23148775693863,3832.5049542260003
1,PPO-RND-actor2,250000,0.0,453,65.22914637768665,3832.6425207600005
1,PPO-RND-actor13,250000,0.0,483,65.22685406255043,3832.7772141250007
1,PPO-RND-actor7,250000,0.2145922746781116,466,65.22523889544199,3832.872124865
1,PPO-RND-actor26,250000,0.0,501,65.22080137709543,3833.132907315001
1,PPO-RND-actor19,250000,0.22779043280182232,439,65.21699884904032,3833.356401122999
1,PPO-RND-actor22,250000,0.2159827213822894,463,65.21467297189758,3833.4931175340007
1,PPO-RND-actor18,250000,0.0,475,65.21388849601267,3833.539231682
1,PPO-RND-actor0,250000,0.0,490,65.20818155477939,3833.8747384020007
1,PPO-RND-actor25,250000,0.4672897196261682,428,65.20726737099865,3833.928488026
1,PPO-RND-actor1,250000,0.0,491,65.20636343153751,3833.9816368150005
1,PPO-RND-actor12,250000,0.0,457,65.19557990343873,3834.6157879149996
1,PPO-RND-actor14,250000,0.0,476,65.19389959468586,3834.7146213720007
1,PPO-RND-actor30,250000,0.0,480,65.19287253420595,3834.7750341699993
1,PPO-RND-actor24,250000,0.2183406113537118,458,65.19261784965052,3834.790015282999
1,PPO-RND-actor11,250000,0.0,418,65.19168920436987,3834.844641259
1,PPO-RND-actor23,250000,0.0,447,65.18737800456198,3835.098260625
1,PPO-RND-actor9,250000,0.0,407,65.18469296609162,3835.256233086
1,PPO-RND-actor3,250000,0.0,416,65.18318864968951,3835.3447442340002
1,PPO-RND-actor16,250000,0.20366598778004075,491,65.17878630258328,3835.603793532
1,PPO-RND-actor6,250000,0.21739130434782608,460,65.17578968805557,3835.780144691
1,PPO-RND-actor5,250000,0.0,477,65.17325305335092,3835.929438651001
1,PPO-RND-actor15,250000,0.21141649048625794,473,65.16796653913971,3836.240614471999
1,PPO-RND-actor29,250000,0.20876826722338204,479,65.16342080666696,3836.5082266280006
1,PPO-RND-actor21,250000,0.4048582995951417,494,65.16355393019732,3836.500388972001
1,PPO-RND-actor8,250000,0.0,424,65.16186033198947,3836.6001020580006
1,PPO-RND-actor28,250000,0.0,472,65.1613877292595,3836.627928164
1,evaluation,100000,0.0,269,908.7096939988777,110.0461463770007
iteration,type,step,episode_return,num_episodes,step_rate,duration
0,PPO-RND-actor0,250000,0.0,183,65.96957019791607,3789.6260237859988
0,PPO-RND-actor1,250000,0.5494505494505495,182,65.77103997098803,3801.065029689
0,PPO-RND-actor2,250000,0.0,175,65.46562681691744,3818.797927333
0,PPO-RND-actor3,250000,0.0,180,65.29067898233608,3829.0304817880005
0,PPO-RND-actor4,250000,0.0,188,65.12647945487119,3838.6843890929995
0,PPO-RND-actor5,250000,0.0,185,65.01937909141138,3845.007496127002
0,PPO-RND-actor6,250000,0.0,190,64.9679163358041,3848.0532253459987
0,PPO-RND-actor7,250000,0.0,166,64.90325958024071,3851.8866635799986
0,PPO-RND-actor8,250000,0.0,181,64.89513273532147,3852.369036975999
0,PPO-RND-actor9,250000,0.0,193,64.89385731997422,3852.444750931001
0,PPO-RND-actor11,250000,0.0,166,64.8782552386102,3853.3711962589987
